 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1362.3509	 12.026270
 50	 91022	    60	    60	 1446.4379	 11.327109
 50	 51200	    80	    80	 1428.8410	 11.466636
 50	 32768	   100	   100	 1447.6534	 11.317626
 50	 22755	   120	   120	 1414.0700	 11.586131
 50	 16718	   140	   140	 1422.3689	 11.518559
 50	 12800	   160	   160	 1363.8909	 12.012691
 50	 10113	   180	   180	 1286.0212	 12.739339
 50	  8192	   200	   200	 1247.3850	 13.134678
 50	  6770	   220	   220	 1549.2408	 10.575115
 50	  5688	   240	   240	 1572.9895	 10.414208
 50	  4847	   260	   260	 1603.9397	 10.214137
 50	  4179	   280	   280	 1603.2941	 10.217514
 50	  3640	   300	   300	 1575.2899	 10.398086
 50	  3200	   320	   320	 1600.4891	 10.236871
 50	  2834	   340	   340	 1593.2697	 10.281072
 50	  2528	   360	   360	 1538.0811	 10.650570
 50	  2269	   380	   380	 1566.9307	 10.454949
 50	  2048	   400	   400	 1579.0103	 10.376120
 50	  1857	   420	   420	 1571.5598	 10.421964
 50	  1692	   440	   440	 1542.1476	 10.620618
 50	  1548	   460	   460	 1501.3148	 10.908998
 50	  1422	   480	   480	 1535.5842	 10.667888
 50	  1310	   500	   500	 1508.6623	 10.853986
 50	  1211	   520	   520	 1508.8552	 10.851088
 50	  1123	   540	   540	 1470.2979	 11.136070
 50	  1044	   560	   560	 1470.5838	 11.131579
 50	   974	   580	   580	 1460.3903	 11.218015
 50	   910	   600	   600	 1443.4858	 11.347531
 50	   852	   620	   620	 1422.1752	 11.514362
 50	   800	   640	   640	 1406.6102	 11.647861
 50	   752	   660	   660	 1563.8001	 10.473564
 50	   708	   680	   680	 1542.2004	 10.614029
 50	   668	   700	   700	 1516.0519	 10.795145
 50	   632	   720	   720	 1535.1887	 10.670636
 50	   598	   740	   740	 1506.5274	 10.868199
 50	   567	   760	   760	 1485.3450	 11.024348
 50	   538	   780	   780	 1495.3928	 10.944255
 50	   512	   800	   800	 1486.3453	 11.023011
 50	   487	   820	   820	 1465.3407	 11.173470
 50	   464	   840	   840	 1466.8982	 11.159547
 50	   443	   860	   860	 1450.0160	 11.297903
 50	   423	   880	   880	 1406.7451	 11.642877
 50	   404	   900	   900	 1436.7372	 11.388304
 50	   387	   920	   920	 1516.7652	 10.797874
 50	   370	   940	   940	 1449.7278	 11.275634
 50	   355	   960	   960	 1469.9322	 11.128677
 50	   341	   980	   980	 1491.3433	 10.979913
 50	   327	  1000	  1000	 1435.6967	 11.388199
 50	   314	  1020	  1020	 1463.8988	 11.158066
 50	   302	  1040	  1040	 1472.8762	 11.088617
 50	   291	  1060	  1060	 1414.3341	 11.559065
 50	   280	  1080	  1080	 1426.1120	 11.450433
 50	   270	  1100	  1100	 1427.9404	 11.439553
 50	   261	  1120	  1120	 1501.7024	 10.900908
 50	   252	  1140	  1140	 1480.1388	 11.063125
 50	   243	  1160	  1160	 1476.0514	 11.076200
 50	   235	  1180	  1180	 1483.5006	 11.028442
 50	   227	  1200	  1200	 1473.2300	 11.093991
 50	   220	  1220	  1220	 1466.9325	 11.160977
 50	   213	  1240	  1240	 1451.8117	 11.279314
 50	   206	  1260	  1260	 1450.0457	 11.277079
 50	   200	  1280	  1280	 1439.9989	 11.377786
 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1306.8277	 12.537230
 dt	    dx	    dy	    dz	     mlups	         s
 50	 204800	    40	    40	 1344.3341	 12.187447
 50	 91022	    60	    60	 1434.0503	 11.424955
